crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1550,13,health,126,10.227843915343916,1703554666757743609
1550,13,education,126,10.227843915343916,1703554666757743609
1550,7,Agriculture,126,10.227843915343916,1703554666757743609
1550,6,technology,126,10.227843915343916,1703554666757743609
1550,2,transport,126,10.227843915343916,1703554666757743609
1550,41,climate_environment,126,10.227843915343916,1703554666757743609
1550,44,finance,126,10.227843915343916,1703554666757743609
1560,13,health,126,10.227843915343916,1703554675599596557
1560,13,education,126,10.227843915343916,1703554675599596557
1560,7,Agriculture,126,10.227843915343916,1703554675599596557
1560,6,technology,126,10.227843915343916,1703554675599596557
1560,2,transport,126,10.227843915343916,1703554675599596557
1560,41,climate_environment,126,10.227843915343916,1703554675599596557
1560,44,finance,126,10.227843915343916,1703554675599596557
1570,13,health,126,10.232096354166668,1703554684509695174
1570,13,education,126,10.232096354166668,1703554684509695174
1570,7,Agriculture,126,10.232096354166668,1703554684509695174
1570,6,technology,126,10.232096354166668,1703554684509695174
1570,2,transport,126,10.232096354166668,1703554684509695174
1570,43,climate_environment,126,10.232096354166668,1703554684509695174
1570,44,finance,126,10.232096354166668,1703554684509695174
1580,13,health,147,10.07410941475827,1703554694313405553
1580,13,education,147,10.07410941475827,1703554694313405553
1580,7,Agriculture,147,10.07410941475827,1703554694313405553
1580,6,technology,147,10.07410941475827,1703554694313405553
1580,2,transport,147,10.07410941475827,1703554694313405553
1580,46,climate_environment,147,10.07410941475827,1703554694313405553
1580,44,finance,147,10.07410941475827,1703554694313405553
1590,13,health,147,10.07410941475827,1703554703791709077
1590,13,education,147,10.07410941475827,1703554703791709077
1590,7,Agriculture,147,10.07410941475827,1703554703791709077
1590,6,technology,147,10.07410941475827,1703554703791709077
1590,2,transport,147,10.07410941475827,1703554703791709077
1590,46,climate_environment,147,10.07410941475827,1703554703791709077
1590,44,finance,147,10.07410941475827,1703554703791709077
1600,13,health,147,10.07410941475827,1703554712497999558
1600,13,education,147,10.07410941475827,1703554712497999558
1600,7,Agriculture,147,10.07410941475827,1703554712497999558
1600,6,technology,147,10.07410941475827,1703554712497999558
1600,2,transport,147,10.07410941475827,1703554712497999558
1600,46,climate_environment,147,10.07410941475827,1703554712497999558
1600,44,finance,147,10.07410941475827,1703554712497999558
1610,13,health,147,10.187184343434344,1703554721859122606
1610,13,education,147,10.187184343434344,1703554721859122606
1610,7,Agriculture,147,10.187184343434344,1703554721859122606
1610,6,technology,147,10.187184343434344,1703554721859122606
1610,2,transport,147,10.187184343434344,1703554721859122606
1610,47,climate_environment,147,10.187184343434344,1703554721859122606
1610,44,finance,147,10.187184343434344,1703554721859122606
1620,13,health,147,10.187184343434344,1703554731340417323
1620,13,education,147,10.187184343434344,1703554731340417323
1620,7,Agriculture,147,10.187184343434344,1703554731340417323
